TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
194110,2024-11-03 00:00:03,18265,10193,11.89,432003,5,0,0
194111,2024-11-03 00:00:23,9416,4773,18.51,432023,5,0,0
194112,2024-11-03 00:00:28,5659,32858,61.58,432028,5,0,0
194113,2024-11-03 00:00:35,2985,24632,105.24,432035,5,0,0
194114,2024-11-03 00:00:42,4454,8350,9.79,432042,5,0,0
194115,2024-11-03 00:01:00,2391,22075,124.99,432060,5,0,0
194116,2024-11-03 00:01:08,8418,15416,12.09,432068,5,0,0
194117,2024-11-03 00:01:17,16774,15063,27.71,432077,5,0,0
194118,2024-11-03 00:01:29,16321,7373,28.82,432089,5,0,0
194119,2024-11-03 00:01:47,16029,31078,87.96,432107,5,0,0
194120,2024-11-03 00:01:54,7004,15291,35.99,432114,5,0,0
194121,2024-11-03 00:01:59,14258,4863,40.49,432119,5,0,0
194122,2024-11-03 00:02:16,6428,31941,7.82,432136,5,0,0
194123,2024-11-03 00:02:32,8590,39667,46.02,432152,5,0,0
194124,2024-11-03 00:02:33,17173,29097,16.78,432153,5,0,0
194125,2024-11-03 00:02:39,11238,34351,53.59,432159,5,0,0
194126,2024-11-03 00:02:55,2482,32952,12.41,432175,5,0,0
194127,2024-11-03 00:03:10,12208,873,41.24,432190,5,0,0
194128,2024-11-03 00:03:12,9621,18538,3.19,432192,5,0,0
194129,2024-11-03 00:03:31,19090,12088,11.06,432211,5,0,0
194130,2024-11-03 00:04:00,19235,3904,20.55,432240,5,0,0
194131,2024-11-03 00:04:16,9736,32004,32.9,432256,5,0,0
194132,2024-11-03 00:04:26,12792,7223,54.93,432266,5,0,0
194133,2024-11-03 00:05:03,5823,6906,85.08,432303,5,0,0
194134,2024-11-03 00:05:41,9930,38146,49.43,432341,5,0,0
194135,2024-11-03 00:05:50,17223,11373,82.19,432350,5,0,0
194136,2024-11-03 00:05:51,9964,36919,37.01,432351,5,0,0
194137,2024-11-03 00:05:57,6790,9688,19.5,432357,5,0,0
194138,2024-11-03 00:06:02,7168,17720,105.96,432362,5,0,0
194139,2024-11-03 00:06:13,9310,26534,40.98,432373,5,0,0
194140,2024-11-03 00:06:25,6983,15463,124.5,432385,5,0,0
194141,2024-11-03 00:06:32,12671,22923,68.09,432392,5,0,0
194142,2024-11-03 00:06:50,3197,7794,66.75,432410,5,0,0
194143,2024-11-03 00:07:07,19446,17747,96.66,432427,5,0,0
194144,2024-11-03 00:07:23,16661,22577,40.25,432443,5,0,0
194145,2024-11-03 00:07:32,18868,29445,8.98,432452,5,0,0
194146,2024-11-03 00:08:05,8842,16827,14.1,432485,5,0,0
194147,2024-11-03 00:08:14,12637,32413,63.51,432494,5,0,0
194148,2024-11-03 00:08:44,7838,22833,8.57,432524,5,0,0
194149,2024-11-03 00:08:50,17630,26019,41.78,432530,5,0,0
194150,2024-11-03 00:09:04,18353,20388,102.15,432544,5,0,0
194151,2024-11-03 00:09:19,15642,23407,14.29,432559,5,0,0
194152,2024-11-03 00:09:38,11808,31383,25.02,432578,5,0,0
